titulo,genero,duracion,tono,anio,calificacion
3 men and a baby,Comedy,media,divertido,1987,6.1
to all the boys: p.s. i still love you,Comedy,media,divertido,2020,6.0
the princess switch,Comedy,media,divertido,2018,6.0
destination wedding,Comedy,corta,divertido,2018,6.0
war machine,Comedy,larga,divertido,2017,6.0
love,Drama,larga,serio,2015,6.0
equals,Drama,media,serio,2015,6.0
z for zachariah,Drama,media,serio,2015,6.0
the last song,Drama,media,serio,2010,6.0
how to be single,Comedy,media,divertido,2016,6.0
jayeshbhai jordaar,Comedy,larga,divertido,2022,6.0
nights in rodanthe,Drama,media,serio,2008,6.0
nim's island,Adventure,media,neutral,2008,6.0
ice princess,Comedy,media,divertido,2005,6.0
leatherheads,Comedy,media,divertido,2008,6.0
raising helen,Comedy,media,divertido,2004,6.0
on the road,Adventure,larga,neutral,2012,6.0
bridget jones: the edge of reason,Comedy,media,divertido,2004,6.0
shallow hal,Comedy,media,divertido,2001,6.0
never been kissed,Comedy,media,divertido,1999,6.0
pushing tin,Comedy,larga,divertido,1999,6.0
hope floats,Drama,media,serio,1998,6.0
the indian in the cupboard,Drama,media,serio,1995,6.0
indecent proposal,Drama,media,serio,1993,6.0
free willy,Adventure,media,neutral,1993,6.0
step up all in,Drama,media,serio,2014,5.9
into the woods,Adventure,larga,neutral,2014,5.9
victor frankenstein,Drama,media,serio,2015,5.9
rock of ages,Comedy,larga,divertido,2012,5.9
gehraiyaan,Drama,larga,serio,2022,5.9
the prom,Comedy,larga,divertido,2020,5.9
georgia rule,Comedy,media,divertido,2007,5.9
catch and release,Comedy,larga,divertido,2006,5.9
dirty dancing: havana nights,Drama,corta,serio,2004,5.9
drumline,Comedy,media,divertido,2002,5.9
joe dirt,Adventure,media,neutral,2001,5.9
captain corelli's mandolin,Drama,larga,serio,2001,5.9
drop dead fred,Comedy,media,divertido,1991,5.9
cocktail,Comedy,media,divertido,1988,5.9
nine 1/2 weeks,Drama,media,serio,1986,5.9
home again,Comedy,media,divertido,2017,5.8
the cobbler,Comedy,media,divertido,2014,5.8
sierra burgess is a loser,Comedy,media,divertido,2018,5.8
second act,Comedy,media,divertido,2018,5.8
the guilt trip,Comedy,media,divertido,2012,5.8
to the wonder,Drama,media,serio,2012,5.8
the divide,Drama,media,serio,2011,5.8
table 19,Comedy,corta,divertido,2017,5.8
downsizing,Drama,larga,serio,2017,5.8
spread,Comedy,media,divertido,2009,5.8
nine,Drama,media,serio,2009,5.8
the wolfman,Drama,media,serio,2010,5.8
a thousand words,Comedy,media,divertido,2012,5.8
something borrowed,Comedy,media,divertido,2011,5.8
goal ii: living the dream,Adventure,media,neutral,2007,5.8
the break-up,Comedy,media,divertido,2006,5.8
friends with money,Comedy,corta,divertido,2006,5.8
open water,Adventure,corta,neutral,2003,5.8
what a girl wants,Comedy,media,divertido,2003,5.8
ken park,Drama,media,serio,2002,5.8
babe: pig in the city,Adventure,media,neutral,1998,5.8
54,Drama,media,serio,1998,5.8
jack,Comedy,media,divertido,1996,5.8
the blue lagoon,Adventure,media,neutral,1980,5.8
salò o le 120 giornate di sodoma,Drama,media,serio,1975,5.8
child's play,Drama,media,serio,2019,5.7
aftermath,Drama,media,serio,2017,5.7
admission,Comedy,media,divertido,2013,5.7
what to expect when you're expecting,Comedy,media,divertido,2012,5.7
persuasion,Drama,media,serio,2022,5.7
death at a funeral,Comedy,media,divertido,2010,5.7
sex and the city,Comedy,larga,divertido,2008,5.7
four christmases,Comedy,corta,divertido,2008,5.7
blue crush,Drama,media,serio,2002,5.7
friday after next,Comedy,corta,divertido,2002,5.7
coyote ugly,Comedy,media,divertido,2000,5.7
michael,Comedy,media,divertido,1996,5.7
beethoven,Comedy,corta,divertido,1992,5.7
short circuit 2,Comedy,media,divertido,1988,5.7
the marksman,Drama,media,serio,2021,5.6
mother's day,Comedy,media,divertido,2016,5.6
47 meters down,Adventure,corta,neutral,2017,5.6
magic mike xxl,Comedy,media,divertido,2015,5.6
knight of cups,Drama,media,serio,2015,5.6
the big wedding,Comedy,media,divertido,2013,5.6
maggie,Drama,media,serio,2015,5.6
mirror mirror,Adventure,media,neutral,2012,5.6
paranoia,Drama,media,serio,2013,5.6
the midnight sky,Adventure,media,neutral,2020,5.6
love happens,Drama,media,serio,2009,5.6
what just happened,Comedy,media,divertido,2008,5.6
autumn in new york,Drama,media,serio,2000,5.6
boomerang,Comedy,media,divertido,1992,5.6
the bonfire of the vanities,Comedy,larga,divertido,1990,5.6
the twilight saga: breaking dawn - part 2,Adventure,media,neutral,2012,5.5
house at the end of the street,Drama,media,serio,2012,5.5
beastly,Drama,corta,serio,2011,5.5
high-rise,Drama,media,serio,2015,5.5
rumor has it...,Comedy,media,divertido,2005,5.5
dreamcatcher,Drama,larga,serio,2003,5.5
replicas,Drama,media,serio,2018,5.4
unfinished business,Comedy,media,divertido,2015,5.4
stone,Drama,media,serio,2010,5.4
how do you know,Comedy,larga,divertido,2010,5.4
aloha,Comedy,media,divertido,2015,5.4
laal singh chaddha,Comedy,larga,divertido,2022,5.4
stomp the yard,Drama,media,serio,2007,5.4
jack frost,Comedy,media,divertido,1998,5.4
the astronaut's wife,Drama,media,serio,1999,5.4
3 men and a little lady,Comedy,media,divertido,1990,5.4
radhe shyam,Drama,larga,serio,2022,5.3
the silence,Drama,media,serio,2019,5.3
the circle,Drama,media,serio,2017,5.3
after,Drama,media,serio,2019,5.3
the dilemma,Comedy,media,divertido,2011,5.3
twilight,Drama,larga,serio,2008,5.3
honey,Drama,media,serio,2003,5.3
maid in manhattan,Comedy,media,divertido,2002,5.3
rocky v,Drama,media,serio,1990,5.3
zero,Comedy,larga,divertido,2018,5.2
alvin and the chipmunks,Adventure,media,neutral,2007,5.2
queen of the damned,Drama,media,serio,2002,5.2
spawn,Action,media,emocionante,1997,5.2
toys,Adventure,media,neutral,1992,5.1
47 meters down: uncaged,Adventure,media,neutral,2019,5.0
dilwale,Action,larga,emocionante,2015,5.0
the twilight saga: eclipse,Action,larga,emocionante,2010,5.0
obsessed,Drama,media,serio,2009,5.0
after we collided,Drama,media,serio,2020,5.0
the happening,Adventure,media,neutral,2008,5.0
showgirls,Drama,larga,serio,1995,5.0
sliver,Drama,media,serio,1993,5.0
the neverending story ii: the next chapter,Adventure,media,neutral,1990,5.0
knock knock,Drama,media,serio,2015,4.9
the twilight saga: breaking dawn - part 1,Adventure,media,neutral,2011,4.9
did you hear about the morgans?,Comedy,media,divertido,2009,4.9
high school musical 3: senior year,Comedy,media,divertido,2008,4.9
shamshera,Action,larga,emocionante,2022,4.8
the woman in black 2: angel of death,Drama,media,serio,2014,4.8
godsend,Action,media,emocionante,2004,4.8
bharat,Action,larga,emocionante,2019,4.7
io,Adventure,media,neutral,2019,4.7
bodyguard,Action,larga,emocionante,2011,4.7
in the land of blood and honey,Drama,larga,serio,2011,4.7
the twilight saga: new moon,Adventure,larga,neutral,2009,4.7
the marine,Action,media,emocionante,2006,4.7
god's not dead,Drama,media,serio,2014,4.6
driven,Action,media,emocionante,2001,4.6
fifty shades freed,Drama,media,serio,2018,4.5
fifty shades darker,Drama,media,serio,2017,4.5
sex and the city 2,Comedy,larga,divertido,2010,4.5
hannah montana: the movie,Comedy,media,divertido,2009,4.5
the butterfly effect 2,Drama,media,serio,2006,4.5
the next karate kid,Action,media,emocionante,1994,4.5
lol,Comedy,media,divertido,2012,4.3
fifty shades of grey,Drama,larga,serio,2015,4.1
you got served,Drama,media,serio,2004,3.8
krym,Action,media,emocionante,2017,3.7
the room,Drama,media,serio,2003,3.6
mignonnes,Drama,media,serio,2020,3.5
spy kids 4: all the time in the world,Action,corta,emocionante,2011,3.5
crossroads,Comedy,media,divertido,2002,3.5
365 dni,Drama,media,serio,2020,3.3
liger,Action,larga,emocionante,2022,3.0
cats,Comedy,media,divertido,2019,2.8
gunday,Action,larga,emocionante,2014,2.6
smolensk,Drama,media,serio,2016,1.2
sadak 2,Action,larga,emocionante,2020,1.1
le fabuleux destin d'amélie poulain,Comedy,larga,divertido,2001,8.3
superbad,Comedy,media,divertido,2007,7.6
"play it again, sam",Comedy,corta,divertido,1972,7.6
stree,Comedy,larga,divertido,2018,7.5
tucker and dale vs evil,Comedy,corta,divertido,2010,7.5
"the adventures of priscilla, queen of the desert",Comedy,media,divertido,1994,7.5
braindead,Comedy,media,divertido,1992,7.5
national lampoon's christmas vacation,Comedy,media,divertido,1989,7.5
beetle juice,Comedy,media,divertido,1988,7.5
trading places,Comedy,media,divertido,1983,7.5
the meaning of life,Comedy,media,divertido,1983,7.5
an american werewolf in london,Comedy,media,divertido,1981,7.5
and now for something completely different,Comedy,corta,divertido,1971,7.5
white christmas,Comedy,media,divertido,1954,7.5
in the loop,Comedy,media,divertido,2009,7.4
best in show,Comedy,media,divertido,2000,7.4
galaxy quest,Adventure,media,neutral,1999,7.4
waiting for guffman,Comedy,corta,divertido,1996,7.4
army of darkness,Comedy,corta,divertido,1992,7.4
radio days,Comedy,corta,divertido,1987,7.4
broadway danny rose,Comedy,corta,divertido,1984,7.4
national lampoon's animal house,Comedy,media,divertido,1978,7.4
the rocky horror picture show,Comedy,media,divertido,1975,7.4
the party,Comedy,media,divertido,1968,7.4
a.r.o.g,Comedy,larga,divertido,2008,7.3
paddington,Adventure,media,neutral,2014,7.3
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Comedy,corta,divertido,2006,7.3
clerks ii,Comedy,media,divertido,2006,7.3
waking ned,Comedy,media,divertido,1998,7.3
election,Comedy,media,divertido,1999,7.3
deconstructing harry,Comedy,media,divertido,1997,7.3
dumb and dumber,Comedy,media,divertido,1994,7.3
the return of the living dead,Comedy,media,divertido,1985,7.3
gremlins,Comedy,media,divertido,1984,7.3
national lampoon's vacation,Adventure,media,neutral,1983,7.3
the gods must be crazy,Adventure,media,neutral,1980,7.3
hausu,Comedy,corta,divertido,1977,7.3
school of rock,Comedy,media,divertido,2003,7.2
a mighty wind,Comedy,media,divertido,2003,7.2
the birdcage,Comedy,media,divertido,1996,7.2
major league,Comedy,media,divertido,1989,7.2
the lost boys,Comedy,media,divertido,1987,7.2
re-animator,Comedy,corta,divertido,1985,7.2
caddyshack,Comedy,media,divertido,1980,7.2
grease,Comedy,media,divertido,1978,7.2
ghostbusters: afterlife,Adventure,larga,neutral,2021,7.1
le tout nouveau testament,Comedy,media,divertido,2015,7.1
pitch perfect,Comedy,media,divertido,2012,7.1
"love, rosie",Comedy,media,divertido,2014,7.1
booksmart,Comedy,media,divertido,2019,7.1
the muppets,Adventure,media,neutral,2011,7.1
whatever works,Comedy,media,divertido,2009,7.1
bienvenue chez les ch'tis,Comedy,media,divertido,2008,7.1
the 40 year old virgin,Comedy,media,divertido,2005,7.1
mean girls,Comedy,media,divertido,2004,7.1
anchorman: the legend of ron burgundy,Comedy,media,divertido,2004,7.1
human traffic,Comedy,media,divertido,1999,7.1
there's something about mary,Comedy,media,divertido,1998,7.1
the frighteners,Comedy,media,divertido,1996,7.1
tommy boy,Adventure,media,neutral,1995,7.1
tremors,Comedy,media,divertido,1990,7.1
pretty woman,Comedy,media,divertido,1990,7.1
